Symbol,Company Name,Industry,Series,ISIN Code
ABB,ABB India Ltd.,Capital Goods,EQ,INE117A01022
ADANIENSOL,Adani Energy Solutions Ltd.,Power,EQ,INE931S01010
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,EQ,INE423A01024
ADANIGREEN,Adani Green Energy Ltd.,Power,EQ,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,EQ,INE742F01042
ADANIPOWER,Adani Power Ltd.,Power,EQ,INE814H01029
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,EQ,INE079A01024
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,EQ,INE437A01024
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,EQ,INE021A01026
DMART,Avenue Supermarts Ltd.,Consumer Services,EQ,INE192R01011
AXISBANK,Axis Bank Ltd.,Financial Services,EQ,INE238A01034
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,EQ,INE917I01010
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,EQ,INE296A01032
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,EQ,INE918I01026
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,EQ,INE118A01012
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,EQ,INE377Y01014
BANKBARODA,Bank of Baroda,Financial Services,EQ,INE028A01039
BEL,Bharat Electronics Ltd.,Capital Goods,EQ,INE263A01024
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE029A01011
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,EQ,INE397D01024
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,EQ,INE323A01026
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,EQ,INE216A01030
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,EQ,INE067A01029
CANBK,Canara Bank,Financial Services,EQ,INE476A01022
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,EQ,INE121A01024
CIPLA,Cipla Ltd.,Healthcare,EQ,INE059A01026
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,EQ,INE522F01014
DLF,DLF Ltd.,Realty,EQ,INE271C01023
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,EQ,INE361B01024
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,EQ,INE089A01031
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,EQ,INE066A01021
ETERNAL,Eternal Ltd.,Consumer Services,EQ,INE758T01015
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,EQ,INE129A01019
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,EQ,INE102D01028
GRASIM,Grasim Industries Ltd.,Construction Materials,EQ,INE047A01021
HCLTECH,HCL Technologies Ltd.,Information Technology,EQ,INE860A01027
HDFCBANK,HDFC Bank Ltd.,Financial Services,EQ,INE040A01034
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,EQ,INE795G01014
HAVELLS,Havells India Ltd.,Consumer Durables,EQ,INE176B01034
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,EQ,INE038A01020
HAL,Hindustan Aeronautics Ltd.,Capital Goods,EQ,INE066F01020
